Income,Age,Risk_Appetite,Net_Worth,Investment_Horizon,Stock_Allocation,Bond_Allocation,FD_Allocation,ETF_Allocation,Cash_Allocation,Other_Allocation,Expected_Return,Portfolio_Volatility
56530.92,26,Medium,270470.35,30,44.77,14.71,9.69,13.69,9.27,7.87,7.69,13.36
20000,41,Low,109573.06,16,19.63,29.89,17.71,9.93,21.77,1.07,4.1,10.82
58740.74,37,Medium,531555.73,28,46.71,14.58,11.38,10.99,14.32,2.02,7.35,13.91
62961.83,44,Low,197920.02,22,15.21,32.67,20.71,7.16,23.79,0.47,5.08,9.7
430496.09,56,Low,2060296.34,8,20.83,30.36,25.37,4.99,11.88,6.58,6.82,11.02
51442.04,49,Medium,472916.04,16,37.9,12.07,9.62,13.28,15.43,11.71,6.81,12.14
76369.43,45,Medium,510632.04,21,34.91,22.54,9.23,15.34,6.84,11.14,6.87,14.01
58356.76,18,Medium,456643.84,30,38.71,22.17,6.11,12.27,7.44,13.3,8.54,13.54
23556.51,45,Low,104704.8,13,14.06,32.41,20.92,7.84,15.12,9.65,4.98,7.83
149695.44,60,Medium,1257335.95,2,39.66,24.33,10.71,15.02,5.65,4.63,7.85,12.24
109496.33,18,Low,387607.39,30,12.13,33.17,20.55,8.13,17.5,8.52,5.69,7.93
112975.4,48,Low,1004860.12,13,15.82,37.88,18.14,8.96,15.54,3.66,5.31,9.71
28986.63,38,Low,226801.43,27,8.95,40.5,18.98,9.08,18.23,4.26,4.69,7.31
184302.79,29,High,1487442.27,30,54.51,6.53,3.02,15.35,2.88,17.7,9.34,15.89
20000,49,Medium,123053.23,17,35.18,13.87,13.37,10.94,14.08,12.56,7.43,11.88
95950.29,60,Medium,555430.11,4,30.1,22.93,10.89,15.47,10.21,10.41,6.85,12.14
346093.53,49,Low,2961915.13,17,19.78,35.49,14.48,10.69,14.86,4.69,6.38,11.69
27164.62,35,Low,287262.53,30,25.48,31.41,15.17,7.49,17.55,2.89,5.84,10.69
38141.63,28,Medium,173417.93,30,48.04,13.86,7.68,16.2,11.9,2.31,8.62,15.63
64979.1,41,High,583390.23,17,62.92,1.67,3.83,9.59,4.67,17.32,9,17.57
40107.53,50,Low,165046.09,12,8.95,23.94,31.93,5.99,25.43,3.75,3.09,5.96
20000,35,Medium,143119.79,26,36.72,21.76,8.34,16.57,11.6,5.01,7.2,13.8
63382.95,36,Medium,638756.5,25,45.54,14.42,10.87,21.58,6.9,0.68,7.81,13.68
25648.92,73,Low,318231.71,1,17.64,28.67,19.71,5.67,21.54,6.78,4.93,8.93
87638.33,52,Low,435282.54,19,16.89,25.94,21.58,6.45,22.09,7.06,5.68,9.6
28754.81,53,Medium,154887.14,4,34.5,17.57,9.26,16.33,11.52,10.83,7.03,12.55
207325.93,22,High,684591.06,30,66.88,3.82,2.37,16.37,2.26,8.3,10.56,18.82
32064.26,31,Medium,218479.78,30,46.17,16.18,10.63,17.04,7.07,2.91,9.03,16.03
46371.98,40,Low,166902.23,24,15.07,35.11,20.88,6.62,14.41,7.91,5.2,9.57
115026.02,27,Medium,585431.12,30,36.71,20.03,5.93,15.62,9.61,12.1,7.31,13.23
22413.27,59,Low,106876.73,5,24.01,36.94,11.24,7.81,15.66,4.35,5.9,11.45
71974.54,56,Low,349309.58,12,13.14,39.54,18.98,9.34,17.7,1.31,4.95,7.41
170725.8,33,Low,1604055.56,30,11.2,31.16,28.87,6.6,12.08,10.09,3.88,8.13
20000,61,Medium,172516.54,6,40.69,18.77,5.57,12.53,11.71,10.73,7.61,12.6
69550.4,39,Medium,219133,29,36.53,21.1,8,12.26,11.71,10.4,6.47,11.38
73865.86,71,Low,600964.99,1,25.91,22.27,29.21,7.13,10.75,4.72,6.09,9.44
112146.14,41,Medium,1122657.22,25,38.55,14.8,12.88,15.47,11.65,6.65,8.14,15.2
22304.4,46,Medium,173297.04,20,40.79,25.59,8.99,10.21,10.51,3.91,8,12.07
20863.04,56,Low,201922.44,7,26.6,25.82,14.35,7.9,16.93,8.41,6.41,13.02
91094.54,55,High,907220.72,8,64.2,4.84,1.16,11.73,9.98,8.08,8.99,17.34
76091.18,46,High,453300.49,18,63.51,0.31,2.84,15.47,10.54,7.33,8.67,14.03
73313.07,38,Medium,574409.3,24,43.07,19.28,5.92,9.92,12.2,9.62,7.67,12.79
79162.53,46,Medium,483423.2,14,39.47,19.48,8.55,14.06,8.69,9.76,7.18,14.52
34824.63,30,Low,367696.06,30,13.89,28.82,24.71,6.05,23.79,2.75,4.01,7.09
72251.1,41,Low,476703.93,27,15.21,29.45,15,11.69,23.32,5.33,4.91,10.55
75853.4,26,Medium,715145.07,30,40.64,14.02,12.93,10.24,8.54,13.64,8.23,13.74
33881.31,18,Low,223238.99,30,15.77,38.09,15.73,4.92,16.73,8.77,5.47,11.06
266924.05,40,High,2001114.68,26,69.18,0.09,0.02,15.27,1.62,13.82,10.76,19.05
87655.2,55,Medium,501088.86,8,45.81,11.35,9.09,12.01,14.02,7.72,7.49,12.59
23133.96,51,Low,267081.4,13,15.13,28.53,22.84,6.57,22.78,4.15,3.9,6.98
101452.17,39,Medium,766973.81,30,33.89,22.23,11.87,16.53,7.39,8.09,6.86,11.98
27511.37,60,Low,119405.26,10,10.15,31.93,28.23,7.11,18.76,3.83,4.45,7.09
112619.2,33,High,272330.38,24,61.1,6.94,0.76,15.8,3.78,11.62,10.1,18
151596.29,18,Medium,1141240.63,30,44.12,18.36,10.74,13.93,11.75,1.1,7.84,11.42
31118.38,18,Low,108683.66,30,23.87,27.7,14.93,10.09,18.66,4.74,5.43,13.21
129676.83,25,Low,1027313.14,30,19.44,33.92,19.19,6.32,13.64,7.47,5.14,12.01
83476.85,49,Medium,431001.25,14,40.63,22.58,10.68,9.47,8,8.63,7.91,13.49
115814.84,32,Low,762948.84,30,12,35.05,18.32,11.86,20.95,1.81,5.18,9.79
273630.58,45,Low,974029.64,16,6.87,34.91,22.69,8.65,23.57,3.31,4.6,10.07
49305.42,59,Low,254731.4,9,15.66,29.37,24.4,8.95,18.21,3.41,5.46,9.19
32830.42,26,Low,206414.41,30,22.73,30.57,12.6,6.9,20.92,6.27,4.76,8.71
29451.15,45,Medium,260694.95,24,36.19,18.02,8.86,15.76,8.83,12.34,7.25,14.49
31239.91,46,Low,147400.15,16,17.21,28.84,23.29,6.41,16.82,7.43,5.25,7.54
56410.94,29,Medium,268761.47,30,35.71,18.31,6.38,16.96,14.82,7.82,7.28,12.83
78827.83,56,High,344170.85,15,56.39,4.62,2.49,12.92,7.42,16.14,8.64,15.67
74865.8,36,High,702410.03,26,67.56,5.07,3.46,13.55,5.21,5.13,10.02,16.69
116290.48,35,Medium,870436.82,26,39.88,11.48,5.4,17.87,13.96,11.4,8.11,14.37
60627.35,65,Low,413483.93,1,11.72,34.22,22.9,4.55,19.6,7.01,4.93,6.63
191937.89,46,High,1883909.78,22,58.56,7.69,1.73,14.24,4.49,13.29,9.12,16.35
48551.21,51,Low,433904.47,11,14.74,38.21,15.59,11.33,18.53,1.61,4.54,9.56
500000,56,Medium,4784904.45,14,37.97,19.32,11.43,10.38,10.49,10.41,7.27,9.97
98976.1,32,Low,703131.59,30,13.38,32.32,13.55,7.84,24.47,8.45,4.67,9.95
30223.46,54,Medium,147827.39,12,46.18,11.69,6.73,20.4,14.52,0.48,8.32,14.45
25473.29,33,Low,221589.41,29,18.72,32.5,19.79,7.08,15.37,6.54,5.68,9.57
88263.13,33,Low,351800.19,30,8.8,34.42,22.73,6.84,22.35,4.86,4.67,6.89
50177.88,36,High,275235.53,30,60.43,5.1,1.1,15.69,6.53,11.14,8.77,16.11
106223.46,32,Medium,677513.94,30,35.85,12.6,13.54,11.84,14.12,12.05,7.7,14.18
87613.46,49,Medium,334525.95,11,42.86,19.8,5.57,20.08,8.94,2.75,8.13,15.77
56604.1,43,Medium,165618.69,19,38.63,17.09,12.64,11.42,13.15,7.07,7.32,12.37
30475.09,34,Low,174693.96,30,11.75,41.95,16.51,8.05,12.58,9.15,4.93,11.54
20000,48,Low,219890.52,18,16.06,34.69,11.02,9.76,26.5,1.96,5,11.05
41977.45,36,Low,125119.8,30,8.43,32.23,17.94,8.74,24.35,8.31,5.07,8.6
119040.48,36,Low,378297.5,27,15.45,29.49,20.77,9.29,21.71,3.28,5.07,10.01
71209.02,40,Medium,642060.83,21,34.63,25.71,9.76,14.05,5.66,10.19,7.31,13.75
22148.14,45,Medium,143488.65,17,37.2,21.98,6.15,12.91,11.86,9.91,7.42,12.36
68916.06,44,Low,699095.99,18,9.65,26.43,26.09,10.23,19.23,8.37,4.77,7.52
81662.79,35,Low,446739.97,29,6.29,30.02,24.8,6.38,22.77,9.74,4.05,8.4
29584.74,50,Medium,297731.69,11,44.49,20.17,6.22,14.06,6.67,8.39,8.5,15.98
67851.71,37,Medium,313178.1,30,47.63,24.57,8.34,11.97,5.12,2.36,7.35,15.15
62860.09,32,Low,188813.93,30,17.39,36.94,17.3,6.13,14.48,7.77,5.45,11.04
24045.99,22,Low,239674.8,30,8.45,25.59,27.19,10.09,21.02,7.64,4.68,9.71
79883.91,51,Medium,803376.36,13,38.36,16.35,7.43,14.15,8.96,14.75,8.18,13.92
93969.68,40,Medium,760258.55,22,41.9,16.14,11.51,12.18,12.34,5.93,7.18,12.68
142705.86,42,Medium,1206557.21,22,35.21,23.45,9.35,12.33,9.73,9.93,6.42,11.32
139405.4,52,Medium,338759.82,10,35.79,21.6,7.11,14.9,9.39,11.2,7.93,13.22
20000,34,Medium,194611.76,30,39.66,14.42,6.96,16.78,9.83,12.35,7.89,13.17
28334.62,23,Low,186705.31,30,15.99,28.9,22.37,8.38,20.27,4.09,4.6,8.39
90592.62,40,Low,549341.04,21,5.43,38.68,20.41,9.14,18.76,7.57,3.82,7.49
90502.12,43,Medium,615024.05,21,36.64,18.83,7.07,13.79,6.61,17.05,7.77,11.95
90593.52,36,Medium,413746.15,29,35.61,21.96,8.31,16.84,12.13,5.16,7.77,14.05
500000,57,Low,3842154.22,8,13.12,35.44,26.53,6.4,16.21,2.29,5.19,8.84
94732.48,18,Low,431479.92,30,17.88,26.84,18.91,5.96,26.95,3.47,4.67,8.72
148828.86,53,Low,1015752.05,13,14.61,36.83,15.3,5.91,24.66,2.68,3.43,9.93
128707.96,49,Medium,447404.92,13,40.55,23.72,8.72,8.96,11.92,6.14,6.69,12.21
101034.05,45,Medium,792713.08,23,32.22,17.76,14.99,12.49,13.13,9.41,6.37,13.68
46624.64,18,Low,181974.3,30,13.01,31.18,23.02,6.82,18.44,7.53,5.23,8.7
110114.41,55,Medium,425349.11,14,34.8,19.74,11.12,13.02,9.43,11.9,6.78,11.41
32332.87,27,Low,97946.9,30,21.86,28.37,21.59,8.59,19.53,0.06,5.48,9.09
49644.6,33,Medium,180657.26,30,43.63,20.56,6.76,19.32,9.68,0.05,8.25,14.48
40692.9,37,Medium,194097.48,19,41.92,21.55,8.74,15.61,8.35,3.83,7.62,13.97
64061.52,44,High,286054.84,19,61.86,4.43,1.83,10.93,5.28,15.68,10.27,15.25
382248.69,47,High,1813513.17,15,67.32,6.06,0.17,14.06,9.04,3.36,10.35,16.84
20000,50,Low,98706.63,17,15.45,36.19,28.6,6.74,10.99,2.02,4.32,9.4
103892.08,49,Medium,1034061.54,13,43.82,21.12,8.12,13.56,9.65,3.73,7.28,13.98
20000,43,Low,102068.14,24,17.81,35.65,23.49,7.59,13.44,2.02,5.17,11.1
41132.52,44,Low,357253.39,23,6.82,31.79,14.54,8.48,29.42,8.94,3.13,8.44
143380.95,26,Low,926516.26,30,19.32,34.48,18.63,6.53,10.8,10.24,6.03,10.57
63166.15,30,Medium,435672.63,30,46.28,16.89,14.59,12.92,7.88,1.45,8.21,13.28
25334.03,50,Low,122053.4,14,18.96,26.8,18.32,7.37,20.64,7.91,5.4,8.97
33855.5,50,Low,183584.32,15,17.96,27.52,19.61,5.16,22.13,7.63,4.81,8.15
103339.82,48,Low,899421.96,19,6.72,23.87,25.98,5.96,31.12,6.34,3.23,7.76
33449.98,33,Medium,223982.4,30,31.8,22.95,11.09,14.15,8.51,11.51,7.4,13.52
71343.87,50,Low,453559.64,10,20.6,23.23,16.87,9,22.93,7.38,4.73,11.24
62227.81,26,High,422222.8,30,56.43,8.82,4.29,18.21,5.41,6.84,8.88,17.65
35625.59,52,Low,246887.92,16,21.1,20.06,19.35,8.42,25.57,5.5,4.39,9.46
333452.3,36,High,2853367.66,23,76.08,2.97,4.01,13.32,3.32,0.3,9.23,17.45
99631.64,60,Medium,856021.09,4,31.66,19.46,12.69,13.91,10.5,11.78,7.04,10.56
20000,21,Low,111720.67,30,8.52,32.34,10.99,7.19,31.13,9.83,3.66,9.71
69651.76,61,Medium,652806.58,7,45.28,13.35,14.52,12.7,8.24,5.91,7.8,14.02
35336.46,35,Low,252278.66,30,12.31,32.87,20.49,5.78,26.47,2.09,4.43,8.92
118663.44,35,Low,868242.16,27,11.3,28.21,28.39,7.16,21.01,3.93,4.41,8.58
31827.41,42,Low,326199.92,19,10.33,29.86,19.46,7.61,27.87,4.87,4.86,9.21
54737.85,31,Medium,348914.47,30,31.1,25.37,13.48,10.4,9.83,9.82,7.1,11.88
89867.32,39,High,762439.39,22,61.57,3.41,0.09,18.31,0.37,16.24,10.13,16.15
119934.85,31,Medium,873506.24,30,34.47,16.47,12.98,17.66,8.71,9.71,6.76,14.19
22968.13,31,Low,155348.51,30,12.52,30.55,27.12,8.92,16.77,4.12,5.35,9.74
45912.78,45,Low,426644.82,24,18.98,27.46,18.9,7,24.08,3.58,4.99,9.22
41033.48,29,Low,145587.32,30,12.33,30.61,23.62,4.6,23.9,4.95,4.4,7.32
35576.35,30,Low,266574.27,30,13.66,33.51,21.79,6,18.82,6.22,5.47,8.33
246338.83,23,High,607139.84,30,60.17,7.38,2.18,8.69,6.37,15.21,8.35,15.07
82957.62,33,Medium,302558.61,29,45.15,17.81,10.28,13.01,10.58,3.18,7,12.86
21881.41,55,Low,203596.41,5,20.13,19,25.07,7.68,25.15,2.98,5.32,9.05
125040.05,29,Medium,586785.37,30,48,13.49,13.84,12.88,10.84,0.94,9.29,13.67
327690.49,31,High,1374465.42,30,65.82,1.48,2.31,12.15,4.13,14.11,10.65,16.12
137046.02,42,Medium,1364043.13,23,44.15,19.05,6.8,18.57,6.06,5.36,8.21,14.19
20000,35,Low,133544.9,26,20.84,28.34,14.78,5.73,21.84,8.47,5.76,8.51
40729.69,66,Low,331473.34,1,14.35,34.79,17.11,7.19,23.49,3.07,4.78,8.94
165318.43,38,Low,1075206.19,27,18.11,38.02,15.03,9.2,15.71,3.92,5.59,9.38
34062.91,44,Low,129026.03,19,10.83,39.14,14.16,8.34,19.65,7.87,4.73,10.65
85575.59,51,Low,683763.55,11,16.79,29.23,25.82,5.45,19.83,2.88,4.79,8.66
111503.03,51,Low,731526.5,11,15.9,31.83,27.86,6.95,13.17,4.29,5.51,8.73
28582.66,42,Medium,186380.64,22,36.17,21.72,5.61,12.42,11.65,12.44,7.21,12.81
57209.75,38,Medium,182633.94,26,37.14,29.71,8.49,11.12,9.91,3.63,7.51,13.58
20000,64,Low,150882.24,1,6.34,25.68,30.87,5.84,26.9,4.36,3.72,7.46
26438.85,38,Low,277873.4,27,10,26.09,24.72,5.02,26.24,7.92,4.02,7.75
49023.02,34,Medium,200172.9,30,44.71,18.32,9.45,16.54,8.92,2.06,7.65,15.12
22111.95,32,Low,115023.04,30,15.94,30.4,27.21,7.69,18.68,0.08,4.28,8.51
221467,19,Medium,825660.83,30,38.94,21.93,12.35,11.78,12.64,2.36,7.39,13.14
20000,49,Medium,231528.77,15,42.86,19,9.14,10.6,6.94,11.47,7.95,12.54
42195.31,18,Low,338682.8,30,25.08,26.94,15,6.78,25.59,0.61,4.65,9.42
66615.48,39,Medium,642186.18,26,33.9,22.67,8.16,12.73,16.12,6.43,5.88,11.76
190064.44,37,Low,1806494.65,23,13.91,32.94,24.89,5.14,16.11,7.01,5,8.22
20000,66,Low,254474.81,1,9.76,31.51,18.33,9.18,24.93,6.28,4.02,8.78
152151.32,18,Low,913520.82,30,15.93,37.65,18.97,6.16,19.25,2.05,4.59,9.14
60493.2,29,High,380452.85,30,72.64,4.31,4.55,14.49,3.41,0.59,10.17,17.93
27361.52,38,Low,274167.75,28,12.26,29.57,16.77,11.17,24.44,5.79,4.45,8.19
86836.53,37,Medium,441259.93,28,42.01,14.33,13.6,13.07,11.83,5.16,7.39,13.15
70357.71,33,Medium,186217.21,30,33.86,12.7,10.81,18.73,11.08,12.82,7.85,11.85
37120.56,39,Low,211699.03,29,6.47,41.44,22.53,6.89,19.34,3.34,3.97,7.88
63445.81,24,Medium,514487.07,30,36.7,28.47,8.28,13.21,8.01,5.33,6.48,12.78
44083.86,44,Medium,175762.79,20,47.66,11.16,10.7,15,8.22,7.26,8.1,13.66
65703.91,18,Medium,561913.19,30,44.26,15.57,13.42,11.11,11.82,3.82,7.76,14.75
